"V1","V2","V3"
0.838510997016407,1,3111
0.838880562877558,1,3112
0.839178984370563,1,3113
0.837736319836017,1,3114
0.839124570421121,1,3121
0.83881016683493,1,3122
0.839168988880903,1,3123
0.838538310894814,1,3124
0.838503353406662,1,3131
0.838556270705255,1,3132
0.838555415476169,1,3133
0.839130450120937,1,3134
0.838999920784409,1,3141
0.838416013138043,1,3142
0.838438890515625,1,3143
0.838299167466621,1,3144
0.838924660626435,1,3211
0.837193890799451,1,3212
0.839350243991542,1,3213
0.83780115688979,1,3214
0.83874757475749,1,3221
0.838660020681592,1,3222
0.839459659860465,1,3223
0.838164468888334,1,3224
0.839747230634644,1,3231
0.838599780484116,1,3232
0.839552826377083,1,3233
0.83844364772726,1,3234
0.838922041487354,1,3241
0.837520534851692,1,3242
0.838509126202836,1,3243
0.838434560918478,1,3244
0.839806134536759,1,3311
0.83862570461524,1,3312
0.838697436953308,1,3313
0.838035008588141,1,3314
0.839613333833675,1,3321
0.838588341795322,1,3322
0.837865405973498,1,3323
0.83843151416488,1,3324
0.837414165736314,1,3331
0.838023569899351,1,3332
0.838047195602341,1,3333
0.838407407395538,1,3334
0.837413470862681,1,3341
0.838141163896191,1,3342
0.838409919630905,1,3343
0.838921881131967,1,3344
0.838671085207643,1,3411
0.839760860847917,1,3412
0.839153862016752,1,3413
0.838752171613703,1,3414
0.839492799986845,1,3421
0.837979365246849,1,3422
0.837669825775927,1,3423
0.83836715817755,1,3424
0.839336079260066,1,3431
0.838216637861517,1,3432
0.838486195373483,1,3433
0.838513883414543,1,3434
0.838361225025851,1,3441
0.838640938382983,1,3442
0.83826453068932,1,3443
0.83904107868332,1,3444
